CERT,NAME,CITY
33124,GOLDMAN SACHS BANK USA,NEW YORK
33131,FIRST FARMERS&MERCHANTS NB,FAIRMONT
33136,WOODLANDS BANK,WILLIAMSPORT
33183,SOUND BANKING CO,LAKEWOOD
33188,SHINHAN BANK AMERICA,NEW YORK
33204,PREMIER BANK MINNESOTA,HASTINGS
33216,NORTHRIM BANK,ANCHORAGE
33306,CIBC BANK USA,CHICAGO
33380,ENTERPRISE BANK,OMAHA
33418,LEDYARD NATIONAL BANK,NORWICH
33440,CITIZENS FIRST BANK,THE VILLAGES
33450,ARBOR BANK,NEBRASKA CITY
33457,OAK VALLEY COMMUNITY BANK,OAKDALE
33470,TODAYS BANK,HUNTSVILLE
33492,CRESCENT BANK,NEW ORLEANS
33497,CHARLES SCHWAB PREMIER BK SS,WESTLAKE
33503,UNITY BANK,CLINTON
33506,FIRST NB OF COFFEE COUNTY,DOUGLAS
33539,PREFERRED BANK,LOS ANGELES
33552,BOONE BANK&TRUST CO,BOONE
33555,SOUTHSTATE BANK NA,WINTER HAVEN
33565,DESJARDINS BANK NA,HALLANDALE
33568,UNITED BANK OF PHILADELPHIA,PHILADELPHIA
33645,LEE BANK,LEE
33646,BANK OF EAST ASIA LTD,NEW YORK
33648,BANK OF INDIA,NEW YORK
33653,BANK OF CHINA,NEW YORK
33656,METROPOLITAN BANK&TRUST CO,NEW YORK
33661,MIZRAHI TEFAHOT BANK LTD,LOS ANGELES
33664,STATE BANK OF INDIA,CHICAGO
33681,BANK OF BARODA,NEW YORK
33682,STATE BANK OF INDIA,NEW YORK
